"1005 North Capitol Street, N.E., Disposition Approval Resolution of 2014",Resolution,20-543,3941,Resolution_20-543
"1005 North Capitol Street, N.E., Surplus Property Declaration Resolution of 2014",Resolution,20-542,3939,Resolution_20-542
"1300 H Street, N.E. Disposition Approval Resolution of 2014",Resolution,20-600,4035,Resolution_20-600
"1300 H Street, N.E., Disposition Approval Resolution of 2013",Proposed Resolution,20-593,3522,Proposed_Resolution_20-593
"1300 H Street, N.E., Surplus Declaration and Approval Resolution of 2013",Proposed Resolution,20-592,3520,Proposed_Resolution_20-592
"1300 H Street, N.E., Surplus Property Declaration Resolution of 2014",Resolution,20-599,4034,Resolution_20-599
"3825 Georgia Avenue, N.W. Disposition Approval Resolution of 2013",Proposed Resolution,20-307,2847,Proposed_Resolution_20-307
"3825 Georgia Avenue, N.W. Surplus Declaration and Approval Resolution of 2013",Proposed Resolution,20-306,2845,Proposed_Resolution_20-306
"3825-29 Georgia Avenue, N.W. Property Disposition Approval Resolution of 2014",Resolution,20-495,3465,Resolution_20-495
"3825-29 Georgia Avenue, N.W. Surplus Declaration and Approval Resolution of 2014",Proposed Resolution,20-628,3524,Proposed_Resolution_20-628
"3825-29 Georgia Avenue, N.W., Surplus Property Declaration Emergency Declaration Resolution of 2014",Resolution,20-526,3517,Resolution_20-526
"3825-29 Georgia Avenue, N.W., Surplus Property Declaration Emergency Resolution of 2014",Resolution,20-527,3518,Resolution_20-527
"5201 Hayes Street, N.E. Disposition Approval Resolution of 2014",Resolution,20-598,4032,Resolution_20-598
"5201 Hayes Street, N.E., Surplus Property Declaration Resolution of 2014",Resolution,20-597,4031,Resolution_20-597
"903 Franklin Street, N.E. Disposition Approval Resolution of 2013",Resolution,20-184,2014,Resolution_20-184
"903 Franklin Street, N.E. Surplus Declaration Resolution of 2013",Resolution,20-183,2012,Resolution_20-183
911 Purity Amendment Act of 2012,Law,19-248,204,Law_19-248
"Abandonment of the Highway Plan for a Portion of 28th and Austin Streets, Se S.O. 13-11875 Resolution of 2014",Resolution,20-423,3363,Resolution_20-423
Access to Justice for Bicyclists Act of 2012,Law,19-264,855,Law_19-264
Accrued Sick and Safe Leave Act Hardship Exemption Regulations Approval Resolution of 2013,Proposed Resolution,20-294,2843,Proposed_Resolution_20-294
Administrative Disposition for Weapons Offenses Amendment Act of 2012,Law,19-295,964,Law_19-295
Advisory Neighborhood Commission 5C Allotments Authorization Emergency Amendment Act of 2014,Act,20-297,3064,Act_20-297
Advisory Neighborhood Commission 5C Allotments Authorization Emergency Declaration Resolution of 2014,Resolution,20-432,3131,Resolution_20-432
Affordable Dwelling Unit Hardship Waiver Emergency Act of 2012,Act,19-620,384,Act_19-620
Affordable Dwelling Unit Hardship Waiver Emergency Declaration Resolution of 2012,Resolution,19-752,561,Resolution_19-752
Affordable Dwelling Unit Hardship Waiver Temporary Act of 2012,Law,19-273,1239,Law_19-273
Air Quality Amendment Act of 2014,Law,20-135,3625,Law_20-135
Albert “Butch” Hopkins Way Designation Act of 2012,Law,19-250,206,Law_19-250
Alcoholic Beverage Control Board James N. Short Confirmation Resolution of 2013,Proposed Resolution,20-224,2842,Proposed_Resolution_20-224
Alcoholic Beverage Control Board James N. Short Confirmation Resolution of 2014,Resolution,20-392,3087,Resolution_20-392
Alcoholic Beverage Control Board Nicole M. Copeland Confirmation Resolution of 2013,Proposed Resolution,20-223,2841,Proposed_Resolution_20-223
Alcoholic Beverage Control Board Victor H. Rodriguez Confirmation Resolution of 2014,Resolution,20-391,3086,Resolution_20-391
Allen Chapel A.M.E. Senior Residential Rental Project Property Tax Clarification Congressional Review Emergency Declaration Resolution of 2012,Resolution,19-745,554,Resolution_19-745
Allen Chapel A.M.E. Senior Residential Rental Project Property Tax Exemption Clarification Act of 2012,Law,19-224,132,Law_19-224
Allen Chapel A.M.E. Senior Residential Rental Project Property Tax Exemption Clarification Congressional Review Emergency Act of 2012,Act,19-602,347,Act_19-602
Allen Chapel A.M.E. Senior Residential Rental Project Property Tax Exemption Clarification Temporary Act of 2012,Law,19-214,214,Law_19-214
Alternative Service of Process Amendment Act of 2012,Law,19-242,194,Law_19-242
